versuch_id	sample_id	plant_id	accession	plant_name	glucose	fructose	sucrose	raffinose	amino_acids	malate	fumarate	fumarate_withNAs	proline	LT50NAC	LT50ACC	bbch_id	antho_value	anthoscore	number1	date1	aliquot_id	date2	number2
105	81500	642676	Gre-0	[At.Gre-0.NULL].39-1	13.84900189	13.41236364	7.737767045	1.446522727	10.5216	13.99170132	1.700165926	1.700165926	0.045583168	-5.113	-9.357	51	hoch	4	37	01. Apr 09	642676	22. Jan 09	39
105	81501	642677	Gre-0	[At.Gre-0.NULL].39-2	19.00419503	16.41088145	6.778843212	1.884634799	8.6964	10.2802625	1.841553796	1.841553796	0.100087505	-5.113	-9.357	51	hoch	4	27	01. Apr 09	642677	22. Jan 09	28
105	81502	642646	Hl-3	[At.Hl-3.n].83-1	10.26020194	10.65471068	6.953821359	1.561246602	4.9201	11.1290619	1.743082736	1.743082736	0.039269689	NA	NA	50	hoch	4	27	01. Apr 09	642646	22. Jan 09	32
105	81503	642647	Hl-3	[At.Hl-3.n].83-2	12.81035453	13.382842	10.01278998	2.023541426	4.4844	18.3371018	2.107943521	2.107943521	0.044655063	NA	NA	51	hoch	4	42	01. Apr 09	642647	22. Jan 09	44
105	81504	642772	Ishikawa	[At.Ishikawa.n].2-1	7.716348057	9.001489399	7.367503534	0.731614841	4.828	15.35137831	1.701647765	1.701647765	0.025864163	-5.859	-8.695	51	gering	2	29	01. Apr 09	642772	22. Jan 09	40
105	81505	642773	Ishikawa	[At.Ishikawa.n].2-2	9.893163907	11.66832781	9.848943709	1.06289404	7.0255	14.38556312	1.377885071	1.377885071	0.04282427	-5.859	-8.695	51	gering	2	14	01. Apr 09	642773	22. Jan 09	13
105	81507	642644	Je54	[At.Je 54.n].78-1	10.23119525	10.87629202	6.534319185	1.674168081	2.7515	12.94433167	1.857423918	1.857423918	0.104291158	-5.28	-7.212	52	sehr hoch	5	40	01. Apr 09	642644	22. Jan 09	41
105	81508	642645	Je54	[At.Je 54.n].78-2	13.24926316	11.9996961	9.590616299	2.425322581	7.4289	16.96119178	3.968553795	3.968553795	0.111691678	-5.28	-7.212	55	hoch	4	45	01. Apr 09	642645	22. Jan 09	46
105	81509	642672	Jea	[At.Jea.NULL].38-1	10.88869101	6.873608614	9.184848315	1.700460674	3.1739	8.517793216	2.661512769	2.661512769	0.084202706	-5.122	-8.147	59	hoch	4	45	01. Apr 09	642672	22. Jan 09	53
105	81510	642673	Jea	[At.Jea.NULL].38-2	8.746676717	4.58039866	6.290040201	1.188768844	4.1418	10.98750852	0.188186424	0.188186424	0.139125458	-5.122	-8.147	55	hoch	4	38	01. Apr 09	642673	22. Jan 09	36
