Datum	Schnee	Sonne	Temp	Monat	Jahr	Feld
4.4.2009	0	618	5	April	2009	Feld3
5.4.2009	0	234	6.9	April	2009	Feld3
6.4.2009	0	624	1.1	April	2009	Feld3
7.4.2009	0	630	4.6	April	2009	Feld3
8.4.2009	0	294	4.8	April	2009	Feld3
9.4.2009	0	450	5.6	April	2009	Feld3
10.4.2009	0	696	4.2	April	2009	Feld3
11.4.2009	0	720	5.8	April	2009	Feld3
12.4.2009	0	738	3.1	April	2009	Feld3
13.4.2009	0	750	2.1	April	2009	Feld3
14.4.2009	0	702	2.5	April	2009	Feld3
15.4.2009	0	714	2.6	April	2009	Feld3
16.4.2009	0	726	4.7	April	2009	Feld3
17.4.2009	0	384	5	April	2009	Feld3
18.4.2009	0	12	6.3	April	2009	Feld3
19.4.2009	0	786	1.4	April	2009	Feld3
20.4.2009	0	810	0	April	2009	Feld3
21.4.2009	0	816	0.6	April	2009	Feld3
22.4.2009	0	468	1.4	April	2009	Feld3
23.4.2009	0	318	0.8	April	2009	Feld3
24.4.2009	0	810	-1.4	April	2009	Feld3
25.4.2009	0	798	0.5	April	2009	Feld3
26.4.2009	0	516	6.2	April	2009	Feld3
27.4.2009	0	690	7.8	April	2009	Feld3
28.4.2009	0	534	8.4	April	2009	Feld3
29.4.2009	0	342	4.6	April	2009	Feld3
30.4.2009	0	660	4.5	April	2009	Feld3
1.10.2009	0	228	8.8	Oktober	2009	Feld4
2.10.2009	0	42	4.9	Oktober	2009	Feld4
3.10.2009	0	90	1.7	Oktober	2009	Feld4
4.10.2009	0	420	9.2	Oktober	2009	Feld4
5.10.2009	0	420	3	Oktober	2009	Feld4
6.10.2009	0	0	7.9	Oktober	2009	Feld4
7.10.2009	0	264	12.7	Oktober	2009	Feld4
8.10.2009	0	132	12.8	Oktober	2009	Feld4
9.10.2009	0	570	2	Oktober	2009	Feld4
10.10.2009	0	150	0.4	Oktober	2009	Feld4
11.10.2009	0	6	7.8	Oktober	2009	Feld4
12.10.2009	0	96	7.9	Oktober	2009	Feld4
13.10.2009	0	330	0.4	Oktober	2009	Feld4
14.10.2009	0	408	-1.7	Oktober	2009	Feld4
15.10.2009	0	0	2.1	Oktober	2009	Feld4
16.10.2009	0	0	2.6	Oktober	2009	Feld4
17.10.2009	0	54	2.1	Oktober	2009	Feld4
18.10.2009	0	84	2.6	Oktober	2009	Feld4
19.10.2009	0	558	-2	Oktober	2009	Feld4
20.10.2009	0	312	-1.9	Oktober	2009	Feld4
21.10.2009	0	0	4.8	Oktober	2009	Feld4
22.10.2009	0	0	0.9	Oktober	2009	Feld4
23.10.2009	0	0	5.2	Oktober	2009	Feld4
24.10.2009	0	0	2.1	Oktober	2009	Feld4
25.10.2009	0	96	4.8	Oktober	2009	Feld4
26.10.2009	0	84	3.9	Oktober	2009	Feld4
27.10.2009	0	72	9.4	Oktober	2009	Feld4
28.10.2009	0	0	7.9	Oktober	2009	Feld4
29.10.2009	0	0	6.8	Oktober	2009	Feld4
30.10.2009	0	396	-2.8	Oktober	2009	Feld4
31.10.2009	0	456	-4.7	Oktober	2009	Feld4
1.11.2009	0	372	-4.4	November	2009	Feld4
2.11.2009	0	0	0.7	November	2009	Feld4
3.11.2009	0	0	3.2	November	2009	Feld4
4.11.2009	0	0	2	November	2009	Feld4
5.11.2009	0	144	3.2	November	2009	Feld4
6.11.2009	0	180	3.2	November	2009	Feld4
7.11.2009	0	426	-0.1	November	2009	Feld4
8.11.2009	0	48	-0.2	November	2009	Feld4
9.11.2009	0	0	4.1	November	2009	Feld4
10.11.2009	0	0	3.4	November	2009	Feld4
11.11.2009	0	0	-1.3	November	2009	Feld4
12.11.2009	0	186	4.7	November	2009	Feld4
13.11.2009	0	18	2.6	November	2009	Feld4
14.11.2009	0	102	5.3	November	2009	Feld4
15.11.2009	0	342	4.5	November	2009	Feld4
16.11.2009	0	42	1.4	November	2009	Feld4
17.11.2009	0	6	4.9	November	2009	Feld4
18.11.2009	0	186	2.9	November	2009	Feld4
19.11.2009	0	180	7.6	November	2009	Feld4
20.11.2009	0	354	0.9	November	2009	Feld4
21.11.2009	0	168	6.3	November	2009	Feld4
22.11.2009	0	0	5.3	November	2009	Feld4
23.11.2009	0	6	4.1	November	2009	Feld4
24.11.2009	0	18	6.8	November	2009	Feld4
25.11.2009	0	156	8.5	November	2009	Feld4
26.11.2009	0	270	3	November	2009	Feld4
27.11.2009	0	6	2.2	November	2009	Feld4
28.11.2009	0	162	2.5	November	2009	Feld4
29.11.2009	0	96	5.3	November	2009	Feld4
30.11.2009	0	0	-0.2	November	2009	Feld4
1.12.2009	0	0	4.6	Dezember	2009	Feld4
2.12.2009	0	0	-3.1	Dezember	2009	Feld4
3.12.2009	0	132	-1.8	Dezember	2009	Feld4
4.12.2009	0	0	-1	Dezember	2009	Feld4
5.12.2009	0	138	-2.9	Dezember	2009	Feld4
6.12.2009	0	0	1	Dezember	2009	Feld4
7.12.2009	0	288	0.6	Dezember	2009	Feld4
8.12.2009	0	0	-1.1	Dezember	2009	Feld4
9.12.2009	0	0	4.1	Dezember	2009	Feld4
10.12.2009	0	0	-1	Dezember	2009	Feld4
11.12.2009	0	138	1.5	Dezember	2009	Feld4
12.12.2009	0	0	-1.2	Dezember	2009	Feld4
13.12.2009	1	192	-6.6	Dezember	2009	Feld4
14.12.2009	0	48	-3	Dezember	2009	Feld4
15.12.2009	0	0	-1.9	Dezember	2009	Feld4
16.12.2009	0	0	-2.4	Dezember	2009	Feld4
17.12.2009	1	0	-9.3	Dezember	2009	Feld4
18.12.2009	2	48	-12.5	Dezember	2009	Feld4
19.12.2009	4	156	-18.2	Dezember	2009	Feld4
20.12.2009	3	138	-19.3	Dezember	2009	Feld4
21.12.2009	8	6	-8.9	Dezember	2009	Feld4
22.12.2009	7	0	-9.1	Dezember	2009	Feld4
23.12.2009	5	96	-3.5	Dezember	2009	Feld4
24.12.2009	5	0	-1.6	Dezember	2009	Feld4
