"versuch_id"	"accession"	"plant_name"	"LT50NAC"	"LT50ACC"	"glucose"	"fructose"	"sucrose"	"raffinose"	"amino_acids"	"malate"	"fumarate"	"proline"	"anthoscore"	"antho_value_en"	"bbch_id"	"rank_bbch_id"	"percent_bbch_id"	"norm_bbch_id"	"bbch_categories"	"glucose_positive"	"fructose_positive"	"sucrose_positive"	"raffinose_positive"	"amino_acids_positive"	"malate_positive"	"fumarate_positive"	"proline_positive"	"flowering_state"	"vegetative_state"	"capacity"
"36"	119	"Col-0"	"[At.Col-0-G1.n].1-1.1-3"	-5.341	-9.675	30.940124	14.919492	17.813774	3.81944	11.64632949	20.46255007	10.54062039	0.215085008	4	"high"	55	98	61.6352201257862	0	"generative buds"	30.940124	14.919492	17.813774	3.81944	11.64632949	20.46255007	10.54062039	0.215085008	"non-flowering"	"non-vegetative"	-4.334
"37"	119	"Col-0"	"[At.Col-0-G1.n].1-1.1-4"	-5.341	-9.675	21.352338	11.106636	15.233892	2.882856	10.55062329	21.13837305	4.468974976	0.136451779	5	"very high"	55	98	61.6352201257862	0	"generative buds"	21.352338	11.106636	15.233892	2.882856	10.55062329	21.13837305	4.468974976	0.136451779	"non-flowering"	"non-vegetative"	-4.334
"38"	119	"Col-0"	"[At.Col-0-G1.n].1-1.1-5"	-5.341	-9.675	21.655644	9.875002	13.49016	2.416608	10.55438861	19.45486539	16.71635116	0.085571455	3	"intermediate"	59	132.5	83.3333333333333	0.627272727272727	"generative buds"	21.655644	9.875002	13.49016	2.416608	10.55438861	19.45486539	16.71635116	0.085571455	"non-flowering"	"non-vegetative"	-4.334
"39"	119	"Col-0"	"[At.Col-0-G1.n].1-1.1-6"	-5.341	-9.675	21.68576	13.297766	18.840544	3.47655	11.00057824	21.47992125	8.087567222	0.121997142	5	"very high"	53	53	33.3333333333333	-0.818181818181818	"generative buds"	21.68576	13.297766	18.840544	3.47655	11.00057824	21.47992125	8.087567222	0.121997142	"non-flowering"	"non-vegetative"	-4.334
"40"	119	"Col-0"	"[At.Col-0-G1.n].1-1.1-7"	-5.341	-9.675	19.55581	9.483236	12.144264	2.352718	9.646948079	14.01919275	4.888026932	0.086727826	4	"high"	55	98	61.6352201257862	0	"generative buds"	19.55581	9.483236	12.144264	2.352718	9.646948079	14.01919275	4.888026932	0.086727826	"non-flowering"	"non-vegetative"	-4.334
"41"	119	"Ct-1"	"[At.Ct-1.n].3-3"	-6.04	-10.03	22.19557	13.26731	13.508384	2.305806	9.93724448	14.17508098	4.904650478	0.098869722	3	"intermediate"	59	132.5	83.3333333333333	0.627272727272727	"generative buds"	22.19557	13.26731	13.508384	2.305806	9.93724448	14.17508098	4.904650478	0.098869722	"non-flowering"	"non-vegetative"	-3.99
"42"	119	"Ct-1"	"[At.Ct-1.n].3-4"	-6.04	-10.03	21.548708	10.739726	11.136254	1.8333	8.715188351	13.83546287	5.857673334	0.068804075	3	"intermediate"	55	98	61.6352201257862	0	"generative buds"	21.548708	10.739726	11.136254	1.8333	8.715188351	13.83546287	5.857673334	0.068804075	"non-flowering"	"non-vegetative"	-3.99
"43"	119	"Cvi-G1"	"[At.Cvi-G1.n].1.1-3"	-4.98	-7.467	15.250444	12.46103	12.895722	1.870024	14.47255571	19.39028525	9.090057335	0.0797896	3	"intermediate"	55	98	61.6352201257862	0	"generative buds"	15.250444	12.46103	12.895722	1.870024	14.47255571	19.39028525	9.090057335	0.0797896	"non-flowering"	"non-vegetative"	-2.487
"44"	119	"Cvi-G1"	"[At.Cvi-G1.n].1.1-4"	-4.98	-7.467	16.879518	8.65409	13.083226	1.727816	15.40552329	16.35328553	11.64114223	0.11448073	3	"intermediate"	63	153	96.2264150943396	1	"flowering"	16.879518	8.65409	13.083226	1.727816	15.40552329	16.35328553	11.64114223	0.11448073	"flowering"	"non-vegetative"	-2.487
"45"	119	"Da-0"	"[At.Da-0.n].81-3"	NA	NA	17.273742	11.71564	17.669972	2.500718	18.37456382	21.20127708	5.160069439	0.098869722	3	"intermediate"	55	98	61.6352201257862	0	"generative buds"	17.273742	11.71564	17.669972	2.500718	18.37456382	21.20127708	5.160069439	0.098869722	"non-flowering"	"non-vegetative"	NA
"46"	119	"Da-0"	"[At.Da-0.n].81-4"	NA	NA	14.091596	11.107242	15.406706	2.07887	15.41729754	18.68487851	6.920199753	0.06822589	4	"high"	55	98	61.6352201257862	0	"generative buds"	14.091596	11.107242	15.406706	2.07887	15.41729754	18.68487851	6.920199753	0.06822589	"non-flowering"	"non-vegetative"	NA
"47"	119	"Edi-0"	"[At.Edi-0.NULL].39-3"	-4.97	-8.906	21.697814	12.769166	15.701676	3.702306	8.667966596	17.80284499	1.729687093	0.077476858	3	"intermediate"	55	98	61.6352201257862	0	"generative buds"	21.697814	12.769166	15.701676	3.702306	8.667966596	17.80284499	1.729687093	0.077476858	"non-flowering"	"non-vegetative"	-3.936
"48"	119	"Edi-0"	"[At.Edi-0.NULL].39-4"	-4.97	-8.906	26.60058	13.393646	20.376054	2.253952	9.421029275	15.1940197	2.299445962	0.531930666	3	"intermediate"	51	11	6.91823899371069	-1.58181818181818	"generative buds"	26.60058	13.393646	20.376054	2.253952	9.421029275	15.1940197	2.299445962	0.531930666	"non-flowering"	"non-vegetative"	-3.936
"49"	119	"Ei-2"	"[At.Ei-2.n].95-3"	-6.692	-10.59	17.920574	13.597262	14.370774	2.722846	14.13800081	18.63236482	5.876147043	0.07458593	3	"intermediate"	53	53	33.3333333333333	-0.818181818181818	"generative buds"	17.920574	13.597262	14.370774	2.722846	14.13800081	18.63236482	5.876147043	0.07458593	"non-flowering"	"non-vegetative"	-3.898
"50"	119	"Ei-2"	"[At.Ei-2.n].95-4"	-6.692	-10.59	20.626518	16.700428	18.099026	2.729892	19.51742586	34.34956983	5.115149403	0.104651577	2	"low"	51	11	6.91823899371069	-1.58181818181818	"generative buds"	20.626518	16.700428	18.099026	2.729892	19.51742586	34.34956983	5.115149403	0.104651577	"non-flowering"	"non-vegetative"	-3.898
"51"	119	"El-0"	"[At.El-0.n].4.1-3"	NA	NA	15.999142	12.790758	15.032284	3.665078	15.07709675	16.45134847	5.054547103	0.078633229	4	"high"	59	132.5	83.3333333333333	0.627272727272727	"generative buds"	15.999142	12.790758	15.032284	3.665078	15.07709675	16.45134847	5.054547103	0.078633229	"non-flowering"	"non-vegetative"	NA
"52"	119	"El-0"	"[At.El-0.n].4.1-4"	NA	NA	20.10476	18.348362	15.66767	2.383942	11.69103572	20.11449309	11.53085785	0.045676655	3	"intermediate"	51	11	6.91823899371069	-1.58181818181818	"generative buds"	20.10476	18.348362	15.66767	2.383942	11.69103572	20.11449309	11.53085785	0.045676655	"non-flowering"	"non-vegetative"	NA
"53"	119	"En-T"	"[At.Enkheim-T. n].2-3"	-6.1	-10.7	23.719592	10.040172	14.281402	2.411428	14.51948566	24.50691186	6.777513291	0.141655449	5	"very high"	59	132.5	83.3333333333333	0.627272727272727	"generative buds"	23.719592	10.040172	14.281402	2.411428	14.51948566	24.50691186	6.777513291	0.141655449	"non-flowering"	"non-vegetative"	-4.6
"54"	119	"En-T"	"[At.Enkheim-T. n].2-4"	-6.1	-10.7	17.617666	10.729042	12.441926	1.507686	17.28272164	26.27306138	7.510695531	0.097135165	4	"high"	55	98	61.6352201257862	0	"generative buds"	17.617666	10.729042	12.441926	1.507686	17.28272164	26.27306138	7.510695531	0.097135165	"non-flowering"	"non-vegetative"	-4.6
"55"	119	"Est-1"	"[At.Est-1.n].2.5-3"	-6.436	-9.66	27.708744	17.512752	25.781526	1.499282	17.35927707	22.48834108	4.855147985	0.164782869	4	"high"	53	53	33.3333333333333	-0.818181818181818	"generative buds"	27.708744	17.512752	25.781526	1.499282	17.35927707	22.48834108	4.855147985	0.164782869	"non-flowering"	"non-vegetative"	-3.224
"56"	119	"Est-1"	"[At.Est-1.n].2.5-4"	-6.436	-9.66	12.913386	6.91883	14.540012	1.071684	19.54223217	24.82447827	10.07636135	0.249776139	3	"intermediate"	51	11	6.91823899371069	-1.58181818181818	"generative buds"	12.913386	6.91883	14.540012	1.071684	19.54223217	24.82447827	10.07636135	0.249776139	"non-flowering"	"non-vegetative"	-3.224
"57"	119	"Ge-0"	"[At.Ge-0. n].2-3"	-5.069	-6.375	39.3445	23.43721	17.867112	2.836382	8.763995509	18.59231593	4.987090709	0.169408353	4	"high"	63	153	96.2264150943396	1	"flowering"	39.3445	23.43721	17.867112	2.836382	8.763995509	18.59231593	4.987090709	0.169408353	"flowering"	"non-vegetative"	-1.306
"58"	119	"Ge-0"	"[At.Ge-0. n].2-4"	-5.069	-6.375	29.584102	19.451144	14.000566	1.92388	9.143113926	17.53556177	7.829395488	0.125466255	3	"intermediate"	61	144.5	90.8805031446541	0.845454545454545	"flowering"	29.584102	19.451144	14.000566	1.92388	9.143113926	17.53556177	7.829395488	0.125466255	"flowering"	"non-vegetative"	-1.306
"59"	119	"Gol-1"	"[At.Gol-1.n].2.1-3"	NA	NA	21.659838	17.08116	16.024024	3.142026	17.46027418	22.00751899	10.54550781	0.135873594	4	"high"	55	98	61.6352201257862	0	"generative buds"	21.659838	17.08116	16.024024	3.142026	17.46027418	22.00751899	10.54550781	0.135873594	"non-flowering"	"non-vegetative"	NA
"60"	119	"Gol-1"	"[At.Gol-1.n].2.1-4"	NA	NA	20.237918	15.302762	14.897774	2.34287	16.15262738	22.92651807	13.6669702	0.092509681	4	"high"	53	53	33.3333333333333	-0.818181818181818	"generative buds"	20.237918	15.302762	14.897774	2.34287	16.15262738	22.92651807	13.6669702	0.092509681	"non-flowering"	"non-vegetative"	NA
"61"	119	"Gr"	"[At.Gr.n].2-3"	NA	NA	16.864922	11.905518	13.805714	2.247804	10.13059591	13.31723753	5.065313359	0.115058916	4	"high"	57	123	77.3584905660377	0.454545454545455	"generative buds"	16.864922	11.905518	13.805714	2.247804	10.13059591	13.31723753	5.065313359	0.115058916	"non-flowering"	"non-vegetative"	NA
"62"	119	"Gr"	"[At.Gr.n].2-4"	NA	NA	5.740558	3.596106	7.330276	1.50122	8.825943054	9.405813184	5.133270931	0.06302222	3	"intermediate"	53	53	33.3333333333333	-0.818181818181818	"generative buds"	5.740558	3.596106	7.330276	1.50122	8.825943054	9.405813184	5.133270931	0.06302222	"non-flowering"	"non-vegetative"	NA
