"accession"	"plant_name"	"yLT50ACC"	"yLT50NAC"	"glc"	"frc"	"suc"	"raf"	"aa"	"mal"	"fum"	"pro"	"antho"	"bbch"	"anthoscore"
"100"	"St-0"	"[At.St-0.n].23-2"	-10.34	-6.259	7.16605	5.393752	12.299882	1.38134	15.42429527	23.25913572	3.687887819	0.081524156	2.0925	51	2
"101"	"Stw-0"	"[At.Stw-0.n].1.1-3"	-11.38	-6.922	30.48081	21.91827	21.031282	3.782906	11.172441	18.31965703	5.023350624	0.120840771	4.5	55	3
"102"	"Stw-0"	"[At.Stw-0.n].1.1-4"	-11.38	-6.922	16.68798	13.44228	14.975464	3.223744	9.06997884	10.77911139	3.541707597	0.074007745	5.31	53	3
"103"	"Ta-0"	"[At.Ta-0.n].2-3"	-11.16	-7.498	20.987584	15.575208	14.648656	2.692862	13.42883342	20.61337996	3.77032805	0.105229762	4.2525	53	4
"104"	"Ta-0"	"[At.Ta-0.n].2-4"	-11.16	-7.498	6.548738	5.426108	5.542414	1.152478	3.66177038	7.155171721	1.760064852	0.033534759	3.0825	53	4
"105"	"Te-0"	"[At.Te.n].1.192-3"	-10.87	-7.001	11.6504	8.67581	20.623002	2.617454	14.80777112	22.85892005	4.057551511	0.152062788	4.8375	53	3
"106"	"Te-0"	"[At.Te.n].1.192-4"	-10.87	-7.001	15.341932	8.767596	14.523216	2.10437	13.69654264	34.57009645	9.10944683	0.149750046	1.1475	52	2
"107"	"Tsu-9"	"[At.Tsu-0.n].2.2-3"	-10.78	-5.443	31.517336	20.614924	21.788696	3.317066	9.844627032	28.88251607	4.451898473	0.157266458	3.735	59	3
"108"	"Yo-0"	"[At.Yo-0. n].11-3"	-10.08	-5.595	18.131868	15.03719	17.372874	2.938342	15.87106848	14.00406641	3.632927665	0.172299281	7.1775	52	4
"109"	"Yo-0"	"[At.Yo-0. n].11-4"	-10.08	-5.595	20.094094	13.24104	15.138778	2.100214	10.77259775	23.10586555	6.074092257	0.093666052	3.78	51	4
